num_hidden_layers,hidden_size,layer,neuron_index,value
2,10,0,0,0.09159701
2,10,0,0,0.14104553
2,10,0,0,0.16620004
2,10,0,0,0.109353274
2,10,0,0,0.08539782
2,10,0,0,0.13888028
2,10,0,0,0.16197695
2,10,0,0,0.16533667
2,10,0,0,0.116126135
2,10,0,0,0.12999752
2,10,0,0,0.14824511
2,10,0,0,0.11818643
2,10,0,0,0.11063574
2,10,0,0,0.09297083
2,10,0,0,0.093775816
2,10,0,0,0.13314164
2,10,0,0,0.16426152
2,10,0,0,0.16519059
2,10,0,0,0.08708888
2,10,0,0,0.107987605
2,10,0,0,0.10824894
2,10,0,0,0.16355817
2,10,0,0,0.08741509
2,10,0,0,0.08650849
2,10,0,0,0.088399395
2,10,0,0,0.16263846
2,10,0,0,0.14281829
2,10,0,0,0.1560147
2,10,0,0,0.08652454
2,10,0,0,0.14504391
2,10,0,0,0.1461863
2,10,0,0,0.104507945
2,10,0,0,0.14644296
2,10,0,0,0.14771524
2,10,0,0,0.13049708
2,10,0,0,0.1308647
2,10,0,0,0.15989211
2,10,0,0,0.09134067
2,10,0,0,0.14553027
2,10,0,0,0.111700326
2,10,0,0,0.08980545
2,10,0,0,0.105340965
2,10,0,0,0.12076041
2,10,0,0,0.09060999
2,10,0,0,0.1210645
2,10,0,0,0.14644569
2,10,0,0,0.08656561
2,10,0,0,0.11671781
2,10,0,0,0.16825368
2,10,0,0,0.13888064
2,10,0,0,0.1557343
2,10,0,0,0.08950919
2,10,0,0,0.13379891
2,10,0,0,0.16552648
2,10,0,0,0.12945102
2,10,0,0,0.10008279
2,10,0,0,0.11573501
2,10,0,0,0.11333735
2,10,0,0,0.12283087
2,10,0,0,0.110930756
2,10,0,0,0.1371361
2,10,0,0,0.14368874
2,10,0,0,0.16651198
2,10,0,0,0.15880212
2,10,0,0,0.10835542
2,10,0,0,0.15194874
2,10,0,0,0.12068021
2,10,0,0,0.11321038
2,10,0,0,0.123769
2,10,0,0,0.15433927
2,10,0,0,0.08612654
2,10,0,0,0.15149754
2,10,0,0,0.09181538
2,10,0,0,0.16059478
2,10,0,0,0.13700418
2,10,0,0,0.1036554
2,10,0,0,0.144147
2,10,0,0,0.09106968
2,10,0,0,0.1560314
2,10,0,0,0.16247635
2,10,0,0,0.14594676
2,10,0,0,0.11990724
2,10,0,0,0.08763868
2,10,0,0,0.14707245
2,10,0,0,0.11157648
2,10,0,0,0.137436
2,10,0,0,0.13599731
2,10,0,0,0.09552202
2,10,0,0,0.1597224
2,10,0,0,0.1222638
2,10,0,0,0.08680324
2,10,0,0,0.13261999
2,10,0,0,0.09377344
2,10,0,0,0.13986962
2,10,0,0,0.09256092
2,10,0,0,0.1678987
2,10,0,0,0.13290529
2,10,0,0,0.13424528
2,10,0,0,0.11300236
2,10,0,0,0.11010147
2,10,0,0,0.09413991
2,10,0,0,0.13311198
2,10,0,0,0.12846446
2,10,0,0,0.09766837
2,10,0,0,0.13828048
2,10,0,0,0.089514256
2,10,0,0,0.15508157
2,10,0,0,0.13137864
2,10,0,0,0.12906197
2,10,0,0,0.107811
2,10,0,0,0.09771662
2,10,0,0,0.13351656
2,10,0,0,0.16199638
2,10,0,0,0.10571607
2,10,0,0,0.11406309
2,10,0,0,0.10970308
2,10,0,0,0.153001
2,10,0,0,0.0994204
2,10,0,0,0.08651649
2,10,0,0,0.123090245
2,10,0,0,0.16648392
2,10,0,0,0.09693813
2,10,0,0,0.15829688
2,10,0,0,0.117007226
2,10,0,0,0.12060152
2,10,0,0,0.1466744
2,10,0,0,0.11197746
2,10,0,0,0.16479991
2,10,0,0,0.11709703
2,10,0,0,0.15372719
2,10,0,0,0.1313754
2,10,0,0,0.12131094
2,10,0,0,0.09056377
2,10,0,0,0.14706053
2,10,0,0,0.0995462
2,10,0,0,0.13217881
2,10,0,0,0.14696732
2,10,0,0,0.1637953
2,10,0,0,0.16578126
2,10,0,0,0.08526437
2,10,0,0,0.13738042
2,10,0,0,0.12465552
2,10,0,0,0.11525416
2,10,0,0,0.097884275
2,10,0,0,0.09049874
2,10,0,0,0.09230353
2,10,0,0,0.15827273
2,10,0,0,0.13358939
2,10,0,0,0.15193276
2,10,0,0,0.15106618
2,10,0,0,0.11669543
2,10,0,0,0.08687811
2,10,0,0,0.16083264
2,10,0,0,0.10105235
2,10,0,0,0.1488181
2,10,0,0,0.13505837
2,10,0,0,0.093036644
2,10,0,0,0.13639298
2,10,0,0,0.12290812
2,10,0,0,0.15649372
2,10,0,0,0.09059367
2,10,0,0,0.13227387
2,10,0,0,0.1578692
2,10,0,0,0.114331804
2,10,0,0,0.15700318
2,10,0,0,0.16050972
2,10,0,0,0.12418919
2,10,0,0,0.093076065
2,10,0,0,0.13880806
2,10,0,0,0.106771365
2,10,0,0,0.09025019
2,10,0,0,0.09858444
2,10,0,0,0.14907716
2,10,0,0,0.13143857
2,10,0,0,0.14015561
2,10,0,0,0.16096097
2,10,0,0,0.12676121
2,10,0,0,0.094793774
2,10,0,0,0.09096457
2,10,0,0,0.122812696
2,10,0,0,0.11712409
2,10,0,0,0.1451817
2,10,0,0,0.09469144
2,10,0,0,0.144467
2,10,0,0,0.15630755
2,10,0,0,0.12023272
2,10,0,0,0.10129971
2,10,0,0,0.16510423
2,10,0,0,0.08835233
2,10,0,0,0.1114871
2,10,0,0,0.1565609
2,10,0,0,0.13593547
2,10,0,0,0.08989912
2,10,0,0,0.15939291
